date,precip_mm_sum,soil_surface_moisture,soil_rootzone_moisture,ndvi,t2m_mean,t2m_max,t2m_min
2019-01-02,0.8805660092564405,15.272740105459524,94.76277690189852,0.2075149393930102,4.7,4.7,-0.8
2019-01-03,0.0597841869868785,15.497559351794857,94.83815406637453,0.2075149393930102,0.7,0.7,-4.1
2019-01-04,0.0021847894688836,15.722378598130192,94.91353123085055,0.2075149393930102,0.2,0.2,-5.0
2019-01-05,0.3131384999569743,15.947197844465524,94.98890839532656,0.2075149393930102,0.9,0.9,-3.0
2019-01-06,0.789432241568598,16.11332516580098,95.6514932157782,0.2075149393930102,3.0,3.0,-3.3
2019-01-07,0.0655368943683551,16.27945248713644,96.31407803622984,0.2075149393930102,-1.1,-1.1,-6.9
2019-01-08,3.762558215573735,16.445579808471894,96.97666285668149,0.2075149393930102,-0.3,-0.3,-8.3
2019-01-09,0.8777146558401324,16.206615433534022,97.50138871642993,0.2075149393930102,2.0,2.0,-4.6
2019-01-10,0.5892980442943828,15.96765105859615,98.02611457617836,0.2075149393930102,0.6,0.6,-5.7
2019-01-11,0.146838254102866,15.728686683658278,98.5508404359268,0.2075149393930102,0.3,0.3,-7.5
2019-01-12,1.4019029465161794,16.093437569589415,99.13627420963425,0.2075149393930102,2.7,2.7,-2.8
2019-01-13,2.2493587989867283,16.458188455520553,99.72170798334172,0.2075149393930102,5.5,5.5,0.4
2019-01-14,1.687374653307798,16.82293934145169,100.30714175704917,0.2075149393930102,6.4,6.4,-0.5
2019-01-15,0.0087812061034374,16.645761083717115,100.53216526218256,0.2075149393930102,3.4,3.4,-2.8
2019-01-16,1.292495147383647,16.46858282598254,100.75718876731597,0.2075149393930102,7.0,7.0,-0.1
2019-01-17,0.0425180688780164,16.291404568247966,100.98221227244936,0.2075149393930102,11.1,11.1,1.9
2019-01-18,2.046740464059953,16.43392429211008,101.21756809688459,0.2075149393930102,6.1,6.1,-3.8
2019-01-19,0.0758975284973465,16.576444015972196,101.45292392131981,0.2075149393930102,1.7,1.7,-4.3
2019-01-20,0.2569829732732441,16.71896373983431,101.68827974575504,0.2075149393930102,0.5,0.5,-3.1
2019-01-21,0.0308032908673435,17.203532098307505,102.53454911079004,0.2075149393930102,1.6,1.6,-5.8
2019-01-22,0.5680628987072653,17.6881004567807,103.38081847582502,0.2075149393930102,-0.4,-0.4,-4.8
2019-01-23,0.6205742380651366,18.172668815253893,104.22708784086002,0.2075149393930102,-1.0,-1.0,-4.1
2019-01-24,3.4456049688221886,18.169743526045895,105.36949236702316,0.2075149393930102,1.9,1.9,-2.5
2019-01-25,1.565171863242527,18.1668182368379,106.5118968931863,0.2075149393930102,-1.8,-1.8,-3.9
2019-01-26,4.724567816293374,18.163892947629904,107.65430141934944,0.2075149393930102,1.7,1.7,-5.5
2019-01-27,2.212840249971289,17.965942747545476,108.60653976437604,0.2075149393930102,3.0,3.0,-1.3
2019-01-28,1.7921714031002924,17.767992547461045,109.55877810940264,0.2075149393930102,3.2,3.2,-1.8
2019-01-29,0.0357189747785002,17.570042347376617,110.51101645442924,0.2075149393930102,5.4,5.4,-2.8
2019-01-30,0.1367863982221561,17.374068970780208,110.4218821264201,0.2075149393930102,2.4,2.4,-3.8
2019-01-31,0.0426869135659723,17.178095594183795,110.33274779841098,0.2075149393930102,4.7,4.7,-1.0
2019-02-01,2.2021494637114785,16.982122217587385,110.24361347040184,0.2075149393930102,7.2,7.2,-1.2
2019-02-02,3.9134203350726704,17.21952981464339,110.51950697040458,0.3812462646748926,13.0,13.0,6.7
2019-02-03,3.3188767576519944,17.4569374116994,110.7954004704073,0.3812462646748926,11.5,11.5,2.4
2019-02-04,0.0892229931909055,17.694345008755406,111.07129397041004,0.3812462646748926,5.5,5.5,0.7
2019-02-05,0.0704781107704984,17.169810047648564,110.06680079144444,0.3812462646748926,4.4,4.4,0.1
2019-02-06,0.0,16.645275086541726,109.06230761247882,0.3812462646748926,6.0,6.0,-3.4
2019-02-07,0.0009707886785856,16.120740125434885,108.05781443351322,0.3812462646748926,5.2,5.2,-5.9
2019-02-08,0.0014440936325438,16.69867648934552,107.68472072658898,0.3812462646748926,4.5,4.5,-4.4
2019-02-09,0.1898038434409491,17.276612853256154,107.31162701966474,0.3812462646748926,5.2,5.2,-1.3
2019-02-10,1.736789819270588,17.854549217166788,106.9385333127405,0.3812462646748926,8.0,8.0,-1.9
2019-02-11,6.368789887339486,17.26305638174239,107.0474531433629,0.3812462646748926,7.7,7.7,3.3
2019-02-12,0.9111605265242496,16.671563546317998,107.15637297398528,0.3812462646748926,5.2,5.2,-0.3
2019-02-13,0.0747410982118515,16.0800707108936,107.26529280460768,0.3812462646748926,6.1,6.1,-2.0
2019-02-14,0.0643697412410565,15.704089170891827,106.09256435532984,0.3812462646748926,10.2,10.2,1.2
2019-02-15,0.0190144338707578,15.328107630890052,104.919835906052,0.3812462646748926,9.8,9.8,-0.6
2019-02-16,0.0,14.952126090888278,103.74710745677416,0.3812462646748926,9.7,9.7,-1.9
2019-02-17,0.0,14.706239604788447,102.16308879494292,0.3812462646748926,11.6,11.6,-2.7
2019-02-18,0.0,14.460353118688616,100.57907013311167,0.3680004446555351,13.0,13.0,-0.9
2019-02-19,0.0,14.214466632588785,98.99505147128043,0.3680004446555351,12.6,12.6,-1.5
2019-02-20,0.0471862598504489,14.563665021604637,98.04940235423882,0.3680004446555351,11.3,11.3,0.8
2019-02-21,0.3781295369410806,14.91286341062049,97.10375323719721,0.3680004446555351,11.2,11.2,-1.0
2019-02-22,2.246605661784212,15.262061799636342,96.1581041201556,0.3680004446555351,10.2,10.2,-3.7
2019-02-23,0.0,14.74475851160574,95.29109223283206,0.3680004446555351,2.0,2.0,-4.6
2019-02-24,0.0,14.22745522357514,94.4240803455085,0.3680004446555351,1.8,1.8,-5.8
2019-02-25,0.2187380548454096,13.710151935544538,93.55706845818496,0.3680004446555351,6.5,6.5,-2.8
2019-02-26,0.3085252723433481,13.46629203502979,92.27183227951713,0.3680004446555351,14.4,14.4,-2.2
2019-02-27,0.0008283235012618,13.22243213451504,90.98659610084931,0.3680004446555351,12.1,12.1,2.3
2019-02-28,0.0353634030552991,12.978572234000293,89.70135992218148,0.3680004446555351,17.5,17.5,1.3
2019-03-01,0.4459745182815133,12.869360947245577,88.52858186812908,0.3680004446555351,13.4,13.4,6.8
2019-03-02,0.1664618757106779,12.760149660490862,87.35580381407667,0.3680004446555351,9.5,9.5,4.0
2019-03-03,0.0273558058907067,12.650938373736146,86.18302576002426,0.3680004446555351,11.0,11.0,3.9
2019-03-04,2.4443728784349985,12.57473128873313,85.44653069776957,0.3680004446555351,17.5,17.5,4.6
2019-03-05,0.8459588823549865,12.498524203730112,84.7100356355149,0.3680004446555351,13.4,13.4,4.7
2019-03-06,0.7553805721071877,12.422317118727095,83.97354057326021,0.4128088371818398,12.1,12.1,2.3
2019-03-07,4.427575203302999,12.607368565909612,83.17825524173553,0.4128088371818398,17.3,17.3,7.4
2019-03-08,1.2400703114938516,12.792420013092128,82.38296991021085,0.4128088371818398,14.5,14.5,6.4
2019-03-09,0.4249180471787679,12.977471460274645,81.58768457868617,0.4128088371818398,15.0,15.0,5.6
2019-03-10,1.8136521215646624,12.753341930678834,81.49391081543862,0.4128088371818398,13.2,13.2,7.8
2019-03-11,2.5720111682219917,12.529212401083026,81.40013705219107,0.4128088371818398,12.0,12.0,3.3
2019-03-12,0.4283905348241211,12.305082871487215,81.30636328894353,0.4128088371818398,9.9,9.9,0.5
2019-03-13,0.2975832569315507,12.711493202574177,81.07042299402114,0.4128088371818398,10.8,10.8,-1.3
2019-03-14,0.4215355726240433,13.11790353366114,80.83448269909876,0.4128088371818398,10.5,10.5,2.4
2019-03-15,1.3901991509589866,13.524313864748102,80.59854240417637,0.4128088371818398,12.6,12.6,4.6
2019-03-16,2.40625003017982,12.917911940304524,80.49207756229848,0.4128088371818398,10.3,10.3,6.1
2019-03-17,0.0,12.311510015860947,80.38561272042057,0.4128088371818398,20.9,20.9,4.9
2019-03-18,0.0764149631212837,11.705108091417369,80.27914787854267,0.4128088371818398,12.6,12.6,6.1
2019-03-19,0.0295806996903093,11.358776738944673,79.22060042042581,0.4128088371818398,10.9,10.9,2.8
2019-03-20,0.0,11.012445386471976,78.16205296230893,0.4128088371818398,13.0,13.0,0.3
2019-03-21,0.0006674477824667,10.66611403399928,77.10350550419207,0.4128088371818398,13.2,13.2,-1.5
2019-03-22,0.0,10.541780939577103,75.50558451140844,0.4566912185477057,16.9,16.9,-0.3
2019-03-23,0.0,10.417447845154927,73.90766351862483,0.4566912185477057,18.7,18.7,5.8
2019-03-24,0.0,10.29311475073275,72.3097425258412,0.4566912185477057,21.5,21.5,5.0
2019-03-25,0.6555326943473083,10.115166735990906,71.24750849323216,0.4566912185477057,15.5,15.5,7.2
2019-03-26,0.172397023909903,9.93721872124906,70.1852744606231,0.4566912185477057,12.4,12.4,3.7
2019-03-27,0.2575268526149979,9.759270706507216,69.12304042801406,0.4566912185477057,11.3,11.3,2.3
2019-03-28,0.0,9.37386039809913,67.69480932138471,0.4566912185477057,14.4,14.4,-1.1
2019-03-29,0.0080672733724015,8.98845008969104,66.26657821475534,0.4566912185477057,16.7,16.7,3.0
2019-03-30,0.0,8.603039781282954,64.83834710812599,0.4566912185477057,19.0,19.0,2.6
2019-03-31,0.0,8.495245068271442,63.33500316523124,0.4566912185477057,21.4,21.4,4.1
2019-04-01,0.0,8.387450355259933,61.831659222336505,0.4566912185477057,20.4,20.4,7.9
2019-04-02,0.003589457453053,8.279655642248422,60.32831527944176,0.4566912185477057,19.3,19.3,6.0
2019-04-03,0.0167008569017324,8.695135840508671,59.51511876137515,0.4566912185477057,19.9,19.9,8.1
2019-04-04,0.0316348612688774,9.110616038768923,58.70192224330853,0.4566912185477057,21.0,21.0,8.6
2019-04-05,1.5539855774606472,9.526096237029172,57.88872572524192,0.4566912185477057,20.5,20.5,9.1
2019-04-06,0.7420958465304881,9.002682736521722,57.86053985690502,0.4566912185477057,14.8,14.8,7.0
2019-04-07,0.001706914430962,8.47926923601427,57.832353988568116,0.5684043365757091,19.1,19.1,6.4
2019-04-08,0.3124124031041551,7.95585573550682,57.80416812023122,0.5684043365757091,22.4,22.4,8.7
2019-04-09,0.1759856223635031,8.982601401471213,57.9051403019289,0.5684043365757091,21.9,21.9,9.8
2019-04-10,7.316096578969959,10.009347067435604,58.00611248362658,0.5684043365757091,20.7,20.7,10.5
2019-04-11,5.578204870846958,11.036092733399997,58.107084665324265,0.5684043365757091,16.1,16.1,8.1
2019-04-12,0.628931190371251,10.406042243337685,59.44403443677216,0.5684043365757091,10.9,10.9,6.5
2019-04-13,0.4229909958431001,9.775991753275376,60.78098420822004,0.5684043365757091,11.5,11.5,6.7
2019-04-14,0.0898340085868093,9.145941263213064,62.11793397966793,0.5684043365757091,13.3,13.3,6.6
2019-04-15,0.0921829279151466,8.706774734358529,61.24514978211789,0.5684043365757091,15.8,15.8,7.3
2019-04-16,0.339136123409245,8.267608205503992,60.37236558456785,0.5684043365757091,16.8,16.8,4.6
2019-04-17,0.0856059948839076,7.828441676649455,59.49958138701781,0.5684043365757091,15.5,15.5,5.2
2019-04-18,0.0133106286856719,7.580467701584112,58.018204914174945,0.5684043365757091,18.7,18.7,7.7
2019-04-19,0.0259411068376266,7.332493726518768,56.53682844133207,0.5684043365757091,22.3,22.3,7.8
2019-04-20,0.0162311145107335,7.084519751453425,55.0554519684892,0.5684043365757091,21.0,21.0,7.4
2019-04-21,0.1658761742033014,7.142569905571607,53.90331368076739,0.5684043365757091,22.3,22.3,8.6
2019-04-22,1.2193372470685502,7.20062005968979,52.75117539304558,0.5684043365757091,22.7,22.7,6.3
2019-04-23,3.3966839616916142,7.258670213807972,51.59903710532377,0.626215265432749,13.6,13.6,9.8
2019-04-24,2.061274339568264,7.534754548562385,50.58052907736161,0.626215265432749,23.9,23.9,8.8
2019-04-25,0.7581475451459676,7.810838883316798,49.56202104939945,0.626215265432749,25.4,25.4,12.6
2019-04-26,4.677676439665431,8.086923218071211,48.54351302143729,0.626215265432749,28.4,28.4,13.5
2019-04-27,9.15985052721288,9.1045610658659,50.375064419854176,0.626215265432749,17.8,17.8,10.7
2019-04-28,1.3677906104645134,10.122198913660588,52.20661581827106,0.626215265432749,14.9,14.9,10.0
2019-04-29,0.4625903109921032,11.139836761455276,54.038167216687945,0.626215265432749,14.3,14.3,9.0
2019-04-30,5.39228950282898,10.436300093601744,55.581876544631704,0.626215265432749,16.1,16.1,7.6
2019-05-01,3.6848784291922496,9.732763425748214,57.12558587257547,0.626215265432749,18.9,18.9,10.4
2019-05-02,0.1286622734606367,9.029226757894682,58.66929520051923,0.626215265432749,21.5,21.5,10.4
2019-05-03,4.0284146273671055,11.679240040546325,61.29845699734647,0.626215265432749,19.2,19.2,10.5
2019-05-04,1.7075938708189158,14.32925332319797,63.9276187941737,0.626215265432749,14.6,14.6,9.1
2019-05-05,2.472602059168539,16.979266605849613,66.55678059100094,0.626215265432749,13.2,13.2,7.5
2019-05-06,7.999955762031424,15.400482963075316,69.68276099631203,0.626215265432749,8.0,8.0,5.4
2019-05-07,2.175492535406706,13.821699320301017,72.80874140162312,0.626215265432749,13.7,13.7,5.5
2019-05-08,0.0775052497846333,12.24291567752672,75.9347218069342,0.626215265432749,17.5,17.5,2.5
2019-05-09,7.079027704939612,12.274777787542083,76.86718265894265,0.6904370693833034,12.4,12.4,8.4
2019-05-10,0.0,12.30663989755745,77.79964351095111,0.6904370693833034,18.6,18.6,7.7
2019-05-11,5.088519410653635,12.338502007572814,78.73210436295956,0.6904370693833034,21.5,21.5,8.3
2019-05-12,4.134590283341433,13.873570801903025,80.7667167431595,0.6904370693833034,23.0,23.0,11.4
2019-05-13,5.6317003402702985,15.408639596233236,82.80132912335945,0.6904370693833034,22.0,22.0,8.6
2019-05-14,2.5050033499828923,16.943708390563447,84.8359415035594,0.6904370693833034,9.9,9.9,7.6
2019-05-15,7.414439076611719,15.333453932704575,86.89543672740464,0.6904370693833034,12.5,12.5,6.4
2019-05-16,0.253121654750943,13.723199474845703,88.95493195124988,0.6904370693833034,15.4,15.4,5.4
2019-05-17,0.6804417208726307,12.112945016986831,91.01442717509512,0.6904370693833034,16.8,16.8,6.1
2019-05-18,0.3100387487121697,13.58550627408928,91.09737044800876,0.6904370693833034,21.8,21.8,6.9
2019-05-19,11.101750114038436,15.058067531191728,91.1803137209224,0.6904370693833034,23.2,23.2,12.2
2019-05-20,4.609560198418787,16.530628788294177,91.26325699383604,0.6904370693833034,21.1,21.1,12.2
2019-05-21,1.3850592729760105,16.174930065136397,93.38399699436495,0.6904370693833034,18.7,18.7,12.2
2019-05-22,3.653713730003589,15.81923134197862,95.50473699489385,0.6904370693833034,19.3,19.3,12.9
2019-05-23,0.7140391799441888,15.46353261882084,97.62547699542276,0.6904370693833034,16.4,16.4,11.6
2019-05-24,0.9862980531157756,14.817119579138158,96.59141698080649,0.6904370693833034,18.7,18.7,11.2
2019-05-25,0.0021433388798952,14.170706539455475,95.55735696619023,0.7318200066882407,22.7,22.7,11.4
2019-05-26,0.1600025009157088,13.524293499772792,94.52329695157395,0.7318200066882407,24.8,24.8,10.4
2019-05-27,11.140131784492857,15.732142442931961,97.71829407419038,0.7318200066882407,22.4,22.4,15.1
2019-05-28,11.756141756323666,17.93999138609113,100.91329119680681,0.7318200066882407,21.4,21.4,13.1
2019-05-29,18.45745245739267,20.147840329250297,104.10828831942324,0.7318200066882407,20.7,20.7,13.1
2019-05-30,5.827287553062315,18.452689363434295,106.22030751541952,0.7318200066882407,17.2,17.2,12.8
2019-05-31,0.3486302567407255,16.757538397618298,108.3323267114158,0.7318200066882407,20.6,20.6,12.4
2019-06-01,0.9206420517672372,15.062387431802296,110.44434590741209,0.7318200066882407,23.8,23.8,14.2
2019-06-02,0.1292301905868098,15.09427586785418,109.11344832704668,0.7318200066882407,24.2,24.2,15.3
2019-06-03,1.4957902793986335,15.12616430390606,107.78255074668128,0.7318200066882407,26.0,26.0,16.3
2019-06-04,2.489149102264175,15.158052739957943,106.45165316631588,0.7318200066882407,25.3,25.3,15.9
2019-06-05,3.372010441203124,14.33803954014005,105.38676507751815,0.7318200066882407,22.8,22.8,15.0
2019-06-06,1.060055462226409,13.518026340322155,104.32187698872043,0.7318200066882407,22.9,22.9,14.9
2019-06-07,1.2994729434918364,12.698013140504262,103.2569888999227,0.7318200066882407,25.7,25.7,17.0
2019-06-08,0.0008639099158905,11.894235758250078,99.69274332434486,0.7318200066882407,28.8,28.8,15.6
2019-06-09,0.2405646455434598,11.090458375995896,96.128497748767,0.7318200066882407,27.7,27.7,15.4
2019-06-10,0.2228939730728042,10.286680993741712,92.56425217318916,0.7301226378421155,29.7,29.7,19.2
2019-06-11,1.1095924087986908,9.75966161361225,88.89784403960616,0.7301226378421155,29.1,29.1,19.8
2019-06-12,2.160858439109913,9.232642233482789,85.23143590602315,0.7301226378421155,30.3,30.3,18.9
2019-06-13,0.6042536358959729,8.705622853353328,81.56502777244015,0.7301226378421155,32.1,32.1,20.1
2019-06-14,0.7550758397811022,9.349485421955615,78.76920574741,0.7301226378421155,32.3,32.3,19.9
2019-06-15,0.8274171942096835,9.9933479905579,75.97338372237984,0.7301226378421155,32.9,32.9,18.4
2019-06-16,13.437281505252432,10.637210559160188,73.17756169734969,0.7301226378421155,31.8,31.8,20.3
2019-06-17,3.9994978512194574,11.075360738051806,72.89087001257906,0.7301226378421155,27.6,27.6,19.4
2019-06-18,1.7726667038077428,11.513510916943423,72.60417832780841,0.7301226378421155,27.7,27.7,18.3
2019-06-19,8.348655118456897,11.95166109583504,72.31748664303778,0.7301226378421155,27.1,27.1,19.5
2019-06-20,2.0328375780978805,12.930735093207554,73.96763597120011,0.7301226378421155,26.2,26.2,18.1
2019-06-21,4.228287858517746,13.909809090580067,75.61778529936244,0.7301226378421155,29.2,29.2,18.0
2019-06-22,19.854230474970567,14.88888308795258,77.26793462752477,0.7301226378421155,26.9,26.9,18.1
2019-06-23,10.831836094336689,13.193639420705606,78.72770404237998,0.7301226378421155,24.6,24.6,19.2
2019-06-24,1.659709731741984,11.498395753458635,80.18747345723521,0.7301226378421155,27.0,27.0,18.9
2019-06-25,0.2790717199708572,9.80315208621166,81.64724287209043,0.7301226378421155,30.2,30.2,20.3
2019-06-26,0.0,9.890055597442053,79.83544889066252,0.7143413230906486,31.8,31.8,20.5
2019-06-27,5.584653551859384,9.976959108672448,78.0236549092346,0.7143413230906486,32.3,32.3,21.3
2019-06-28,0.0127399080593512,10.06386261990284,76.21186092780668,0.7143413230906486,26.6,26.6,18.9
2019-06-29,0.0,9.352789589610527,73.72530635016929,0.7143413230906486,26.4,26.4,17.1
2019-06-30,0.0,8.641716559318214,71.2387517725319,0.7143413230906486,28.9,28.9,15.7
2019-07-01,1.6529674477263472,7.9306435290259,68.7521971948945,0.7143413230906486,33.2,33.2,18.2
2019-07-02,0.3165282415807565,7.731129507243655,66.6409034711048,0.7143413230906486,31.9,31.9,19.5
2019-07-03,1.1732654553785486,7.531615485461411,64.52960974731509,0.7143413230906486,28.5,28.5,20.2
2019-07-04,0.0712182478033748,7.332101463679166,62.41831602352539,0.7143413230906486,26.0,26.0,17.1
2019-07-05,0.0030223359103477,7.741445590776301,60.7245744654049,0.7143413230906486,27.8,27.8,16.1
2019-07-06,0.9260412763795156,8.150789717873437,59.03083290728441,0.7143413230906486,30.8,30.8,17.6
2019-07-07,13.25371200272342,8.560133844970572,57.33709134916392,0.7143413230906486,29.8,29.8,19.2
2019-07-08,0.443204022342953,7.997314317793967,56.504853612430225,0.7143413230906486,23.0,23.0,17.7
2019-07-09,0.4307708881110043,7.434494790617363,55.67261587569652,0.7143413230906486,23.6,23.6,15.8
2019-07-10,0.0073936911559718,6.871675263440758,54.840378138962826,0.7143413230906486,21.8,21.8,14.4
2019-07-11,0.2631862777483226,7.450205278159539,54.127126691281624,0.7143413230906486,23.7,23.7,12.3
2019-07-12,1.4644620949795948,8.028735292878322,53.413875243600415,0.6954243317720875,21.6,21.6,11.4
2019-07-13,4.844911394797364,8.607265307597103,52.70062379591921,0.6954243317720875,20.5,20.5,15.0
2019-07-14,1.036366993123648,7.724304534454548,51.97121552898664,0.6954243317720875,22.3,22.3,14.4
2019-07-15,0.0668027590570338,6.841343761311992,51.24180726205406,0.6954243317720875,24.0,24.0,13.8
2019-07-16,0.0,5.958382988169437,50.51239899512149,0.6954243317720875,25.5,25.5,14.2
2019-07-17,0.3455614505783097,5.802226779231837,48.76251550817278,0.6954243317720875,24.7,24.7,14.8
2019-07-18,0.4646520875544553,5.646070570294237,47.01263202122408,0.6954243317720875,23.5,23.5,15.1
2019-07-19,0.1287386392618655,5.489914361356637,45.262748534275374,0.6954243317720875,27.0,27.0,14.1
2019-07-20,0.6797633854907733,5.39145507857807,43.90173610429837,0.6954243317720875,30.3,30.3,16.4
2019-07-21,3.3244621667075327,5.292995795799503,42.54072367432138,0.6954243317720875,31.4,31.4,18.7
2019-07-22,0.1386804270383463,5.194536513020936,41.179711244344375,0.6954243317720875,27.7,27.7,18.6
2019-07-23,0.0,5.438895902370182,39.87714981866644,0.6954243317720875,28.9,28.9,17.6
2019-07-24,0.0021925324817269,5.683255291719427,38.57458839298851,0.6954243317720875,27.3,27.3,18.1
2019-07-25,0.0514243163823852,5.927614681068673,37.27202696731057,0.6954243317720875,28.6,28.6,19.2
2019-07-26,8.145877067521438,7.606066708627136,39.67749897773178,0.6954243317720875,29.9,29.9,19.0
2019-07-27,12.394198290837355,9.2845187361856,42.08297098815298,0.6954243317720875,28.1,28.1,19.1
2019-07-28,9.471717426440684,10.962970763744062,44.488442998574186,0.6910990716078423,29.8,29.8,18.9
2019-07-29,1.2854271279023757,9.957920912633554,46.48293453514635,0.6910990716078423,25.2,25.2,18.6
2019-07-30,0.8660350450722826,8.952871061523046,48.47742607171852,0.6910990716078423,30.2,30.2,19.0
2019-07-31,6.596362008825119,7.947821210412539,50.47191760829068,0.6910990716078423,28.6,28.6,20.9
2019-08-01,2.132481308295213,8.232483138521964,51.381596716923795,0.6910990716078423,27.9,27.9,19.4
2019-08-02,13.920955255776038,8.51714506663139,52.29127582555691,0.6910990716078423,26.9,26.9,17.2
2019-08-03,1.612595646033672,8.801806994740813,53.20095493419002,0.6910990716078423,24.4,24.4,16.8
2019-08-04,0.0,8.239259218061216,52.521394422022674,0.6910990716078423,22.9,22.9,14.7
2019-08-05,0.0,7.676711441381618,51.84183390985532,0.6910990716078423,26.4,26.4,13.9
2019-08-06,0.8024026996636898,7.114163664702021,51.16227339768797,0.6910990716078423,28.9,28.9,17.8
2019-08-07,2.653168784389114,6.7688878718244,50.30336616910492,0.6910990716078423,30.2,30.2,19.2
2019-08-08,1.4399087853313215,6.423612078946778,49.44445894052186,0.6910990716078423,24.9,24.9,18.5
2019-08-09,0.9582731209998782,6.078336286069157,48.58555171193881,0.6910990716078423,29.4,29.4,17.1
2019-08-10,0.3651750747292981,6.788810591005276,47.57750152833853,0.6910990716078423,31.4,31.4,19.1
2019-08-11,0.0,7.499284895941393,46.569451344738255,0.6910990716078423,31.1,31.1,21.4
2019-08-12,0.2820173719094775,8.209759200877512,45.56140116113797,0.6910990716078423,33.9,33.9,19.9
2019-08-13,5.02779287820305,7.93470525003243,47.71895310304247,0.6733251264787646,27.3,27.3,20.6
2019-08-14,11.656886313340827,7.659651299187348,49.87650504494698,0.6733251264787646,20.7,20.7,14.1
2019-08-15,0.0,7.384597348342266,52.03405698685148,0.6733251264787646,23.4,23.4,12.6
2019-08-16,0.6556890457155641,6.843303180518573,50.86595287778951,0.6733251264787646,23.2,23.2,12.6
2019-08-17,0.3122617396100258,6.302009012694879,49.69784876872753,0.6733251264787646,25.2,25.2,14.2
2019-08-18,0.0024863867389681,5.760714844871186,48.52974465966556,0.6733251264787646,28.0,28.0,16.0
2019-08-19,0.1112080680381966,5.926542892073452,46.78564908288141,0.6733251264787646,30.6,30.6,17.7
2019-08-20,0.0772623611915456,6.092370939275719,45.04155350609727,0.6733251264787646,31.9,31.9,18.3
2019-08-21,0.0559973059768057,6.258198986477986,43.297457929313126,0.6733251264787646,28.8,28.8,19.0
2019-08-22,0.0866744322922472,6.833383018546063,43.3040137950685,0.6733251264787646,28.2,28.2,17.8
2019-08-23,0.3800816736832812,7.40856705061414,43.31056966082387,0.6733251264787646,29.8,29.8,18.7
2019-08-24,1.4922893853081147,7.983751082682217,43.31712552657925,0.6733251264787646,29.4,29.4,20.0
2019-08-25,4.55436402509129,7.331493046363854,44.003453770529696,0.6733251264787646,29.3,29.3,21.1
2019-08-26,2.466358234913692,6.679235010045491,44.689782014480144,0.6733251264787646,27.8,27.8,19.8
2019-08-27,1.0314718822914342,6.026976973727128,45.37611025843059,0.6733251264787646,28.4,28.4,19.4
2019-08-28,0.0430076134638201,5.766557464414718,44.12891991016383,0.6733251264787646,31.5,31.5,20.0
2019-08-29,0.9473493553635972,5.506137955102307,42.88172956189706,0.6267432899066957,32.0,32.0,19.5
